protein	go_term	protein_neighbor	go_neighbor	go_annotated_protein_neighbors	score	norm_score	true_label
BSU_15320	GO:0030435	246	260	81	81	1.0	1
BSU_01180	GO:0006412	72	98	56	56	0.691358024691358	1
BSU_01350	GO:0006412	66	98	56	56	0.691358024691358	1
BSU_01230	GO:1990904	65	60	55	55	0.6790123456790124	1
BSU_01180	GO:0003735	72	58	54	54	0.6666666666666666	1
BSU_01420	GO:0003735	61	58	51	51	0.6296296296296297	1
BSU_25550	GO:0005840	56	62	50	50	0.6172839506172839	1
BSU_25550	GO:0003735	56	58	50	50	0.6172839506172839	1
BSU_11430	GO:0055085	41	216	37	37	0.4567901234567901	1
BSU_01260	GO:0019843	71	45	37	37	0.4567901234567901	1
BSU_01280	GO:0019843	68	45	36	36	0.4444444444444444	1
BSU_01050	GO:0005840	42	62	36	36	0.4444444444444444	1
BSU_00990	GO:0005840	36	62	35	35	0.43209876543209874	1
BSU_00520	GO:0006412	36	98	34	34	0.41975308641975306	1
BSU_09900	GO:0005886	51	841	34	34	0.41975308641975306	1
BSU_01220	GO:0019843	62	45	34	34	0.41975308641975306	1
BSU_33710	GO:0005886	39	841	34	34	0.41975308641975306	1
BSU_34600	GO:0005886	35	841	32	32	0.3950617283950617	1
BSU_30750	GO:0005886	34	841	31	31	0.38271604938271603	1
BSU_30740	GO:0055085	34	216	31	31	0.38271604938271603	1
BSU_02870	GO:0005886	35	841	31	31	0.38271604938271603	1
BSU_16470	GO:0071978	125	29	28	28	0.345679012345679	1
BSU_15640	GO:0006412	29	98	28	28	0.345679012345679	1
BSU_25330	GO:0005886	39	841	26	26	0.32098765432098764	1
BSU_03740	GO:0005886	40	841	25	25	0.30864197530864196	1
BSU_01280	GO:0022625	68	24	23	23	0.2839506172839506	1
BSU_01490	GO:0022625	67	24	23	23	0.2839506172839506	1
BSU_01270	GO:0005737	67	631	20	20	0.24691358024691357	1
BSU_13220	GO:0016020	36	436	17	17	0.20987654320987653	1
BSU_01500	GO:0005737	60	631	16	16	0.19753086419753085	1
BSU_01150	GO:0003723	62	73	16	16	0.19753086419753085	1
BSU_15990	GO:0005737	58	631	16	16	0.19753086419753085	1
BSU_24220	GO:0006355	149	174	15	15	0.18518518518518517	1
BSU_16680	GO:0005737	58	631	15	15	0.18518518518518517	1
BSU_01220	GO:0003723	62	73	14	14	0.1728395061728395	1
BSU_01430	GO:0003677	20	302	14	14	0.1728395061728395	1
BSU_01200	GO:0003723	63	73	14	14	0.1728395061728395	1
BSU_14850	GO:0051301	25	51	13	13	0.16049382716049382	1
BSU_01420	GO:0022627	61	13	12	12	0.14814814814814814	1
BSU_23970	GO:0006865	35	58	12	12	0.14814814814814814	1
BSU_15160	GO:0051301	30	51	12	12	0.14814814814814814	1
BSU_38170	GO:0005886	12	841	11	11	0.13580246913580246	1
BSU_26030	GO:0005886	15	841	11	11	0.13580246913580246	0
BSU_26030	GO:0005886	15	841	11	11	0.13580246913580246	0
BSU_26030	GO:0005886	15	841	11	11	0.13580246913580246	0
BSU_26030	GO:0005886	15	841	11	11	0.13580246913580246	0
BSU_26030	GO:0005886	15	841	11	11	0.13580246913580246	0
BSU_20710	GO:0005886	10	841	10	10	0.12345679012345678	1
BSU_01410	GO:0015935	58	13	10	10	0.12345679012345678	1
BSU_15990	GO:0015935	58	13	10	10	0.12345679012345678	1
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
BSU_24610	GO:0003677	52	302	9	9	0.1111111111111111	1
BSU_03700	GO:0005886	9	841	9	9	0.1111111111111111	1
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
BSU_33060	GO:0005886	9	841	9	9	0.1111111111111111	1
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
BSU_00620	GO:0051301	20	51	9	9	0.1111111111111111	1
BSU_15710	GO:0005524	19	384	9	9	0.1111111111111111	1
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
BSU_01550	GO:0016020	10	436	9	9	0.1111111111111111	0
